⺀⺀	丶 丶
㙔㙔	土 韋
㙕㙕	土 田 ⺝
㙖㙖	土 丿 口 ⽱
㙗㙗	土 田 一 {畏下无横}
㙘㙘	土 覀 女
㙙㙙	氵 龙 𰀪 土
㙚㙚	土 ⺷ 牛
㙛㙛	土 甫 寸
㙜㙜	高 土
㙝㙝	土 力 力 力 ⺝
㙞㙞	土 自 木
㙟㙟	土 丶 {即左} 月
㙠㙠	匚 矢 殳 土
㙡㙡	土 彳 人 人 龰
㙢㙢	土 廿 冂 丨 入 入
㙣㙣	土 弓 長
㙤㙤	土 虍 丿 丷 𬺰
㙥㙥	土 衣 八 厶
㙦㙦	人 禾 斗 土
㙧㙧	土 {𡋲字头} 田
㙨㙨	土 幺 幺 戊 丶
㙩㙩	土 大 丷 日 小
㙪㙪	土 士 冖 豆
㙫㙫	土 隹 木
㙬㙬	木 人 人 犬 土
㙭㙭	土 厂 䒑 {㪿三} 欠
㙮㙮	土 ⺮ 亼 口
㙯㙯	土 八 土 丸 云
㙰㙰	⺈ 用 刀 牛 土
㙱㙱	口 一 ㄅ 虎 土
㙲㙲	土 亠 乡 隹
㙳㙳	土 戊 一 口 心
㙴㙴	土 ⺈ 厂 八 言
㙵㙵	土 高 土
㙶㙶	{高头} {党无儿} 土
㙷㙷	土 日 幺 幺 灬
㙸㙸	土 亻 业 ⺶ ㇏
㙹㙹	土 艹 罒 冖 夕
㙺㙺	土 匚 虫 貝
㙻㙻	土 广 里 八 土
㙼㙼	土 田 田 田
㙽㙽	土 大 一 白 一 白
㙾㙾	土 {臼裂} 乂 乂 冖 子
㙿㙿	土 ⺷ 禾 乃 戈
㚀㚀	土 虍 豆 戈
㚁㚁	土 土 土 一 儿 土 土 土 一 儿
㚂㚂	土 一 口 丨 冖 {双口：吕吅} 井 一 𧘇
㚃㚃	士 冖 㐅 凵 䒑
㚄㚄	士 冖 田 疋
㚅㚅	夂 一 生
㚆㚆	亠 日 夂
㚇㚇	㐅 凵 八 夂
㚈㚈	夕 十
㚉㚉	乃 夕 夕
㚊㚊	夕 夕 亥
㚋㚋	夕 夕 ⺆ 土 口
㚌㚌	夕 夕 田 木
㚍㚍	夕 夕 虫 貝
㚎㚎	大 凵
㚏㚏	大 廾
㚐㚐	大 大
㚑㚑	彐 大
㚒㚒	大 入 入
㚓㚓	大 木
㚔㚔	大 {南心}
㚕㚕	大 弗
㚖㚖	白 大
㚗㚗	大 且
㚘㚘	夫 夫
㚙㚙	力 口 大
㚚㚚	大 夕 口
㚛㚛	大 匕 日
㚜㚜	大 戈 口 一
㚝㚝	大 亻 土 土
㚞㚞	大 木 木
㚟㚟	{免无儿} 匕 匕 大
㚠㚠	大 ⺷ 灬
㚡㚡	大 可 大 可
㚢㚢	亻 女
㚣㚣	女 女
㚤㚤	女 弋
㚥㚥	女 一 𬺰
㚦㚦	女 丌
㚧㚧	女 广
㚨㚨	女 ⺄ 十
㚩㚩	女 冂 二
㚪㚪	女 毛
㚫㚫	女 及
㚬㚬	女 勹 冫
㚭㚭	女 尤
㚮㚮	女 冖 几
㚯㚯	女 几 乂
㚰㚰	女 不 一
㚱㚱	女 {丘无横} 一
㚲㚲	女 ⺊ 口
㚳㚳	女 力 口
㚴㚴	女 𠂇 巾
㚵㚵	女 夂 ゛
㚶㚶	女 㠯
㚷㚷	女 人 小
㚸㚸	女 𠃌 一 口
㚹㚹	女 卯
㚺㚺	女 乃 子
㚻㚻	田 女
㚼㚼	女 田
㚽㚽	工 一 ㄅ 女
㚾㚾	女 口 儿
㚿㚿	女 勹 巳
㛀㛀	女 ⺈ 彐
㛁㛁	女 干 丷
㛂㛂	女 ⺁ 巴
㛃㛃	丰 刀 女
㛄㛄	女 衣
㛅㛅	女 耳
㛆㛆	女 乃 木
㛇㛇	女 广 土
㛈㛈	女 耂 一 ㄅ
㛉㛉	女 西
㛊㛊	女 几 木
㛋㛋	女 人 ⺗
㛌㛌	女 厶 牛
㛍㛍	女 大 人 人
㛎㛎	女 {双口：吕吅}
㛏㛏	女 一 氺 丶
㛐㛐	女 一 日 {丈无一}
㛑㛑	歺 又 女
㛒㛒	女 豆
㛓㛓	女 㐅 𠂇 巾
㛔㛔	女 夂 丰
㛕㛕	女 口 巴
㛖㛖	女 厶 八 夂
㛗㛗	女 人 人 土
㛘㛘	女 十 冖 子
㛙㛙	女 辛
㛚㛚	女 龴 用
㛛㛛	女 身
㛜㛜	亻 丨 攵 女
㛝㛝	女 貝
㛞㛞	女 王 廾
㛟㛟	女 ⺈ 冂 大
㛠㛠	女 门 日
㛡㛡	女 宀 二 儿
㛢㛢	女 禾 乃
㛣㛣	女 口 贝
㛤㛤	女 一 {丽右角} {丽右角}
㛥㛥	女 水 日
㛦㛦	女 木 木
㛧㛧	女 山 石
㛨㛨	女 ⺶ 乚
㛩㛩	女 {弃字头} ⺝
㛪㛪	女 大 日 乚
㛫㛫	女 日 勹 𰀪
㛬㛬	女 土 八 土
㛭㛭	女 龷 日
㛮㛮	女 宀 火 又
㛯㛯	女 {免无儿} 儿 力
㛰㛰	女 民 日
㛱㛱	女 田 一 {畏下无横}
㛲㛲	女 頁
㛳㛳	{立无横} 冖 巾 女
㛴㛴	女 巛 丿 龱
㛵㛵	女 爫 冂 土
㛶㛶	女 山 𠂇 火
㛷㛷	禾 尤 女
㛸㛸	女 壴
㛹㛹	女 亻 一 日 {丈无一}
㛺㛺	女 音
㛻㛻	女 大 土 土
㛼㛼	女 千 臼
㛽㛽	女 宀 米
㛾㛾	女 戊 一 口
㛿㛿	女 卅 冖 巾
㜀㜀	女 木 目
㜁㜁	女 木 日 一
㜂㜂	土 土 寸 女
㜃㜃	女 亻 言
㜄㜄	女 風
㜅㜅	女 亠 幺 田
㜆㜆	女 米 辶
㜇㜇	女 土 土 心
㜈㜈	予 丿 夂 力 女
㜉㜉	女 巛 口 巴
㜊㜊	女 尸 龷 {畏下无横}
㜋㜋	女 {益字头} 皿
㜌㜌	士 冖 一 女 殳
㜍㜍	女 广 肀 口
㜎㜎	女 爫 幺 大
㜏㜏	女 口 貝
㜐㜐	女 山 豆
㜑㜑	氵 甫 女
㜒㜒	女 臼 廾
㜓㜓	女 艹 亼 口
㜔㜔	女 立 口 儿
㜕㜕	女 車 辶
㜖㜖	女 一 曲 曰
㜗㜗	女 厶 厶 厶 人 彡
㜘㜘	女 虍 且
㜙㜙	女 鹿
㜚㜚	女 宀 亻 一 白
㜛㜛	女 車 欠
㜜㜜	女 敖
㜝㜝	女 亽 ヿ 酉
㜞㜞	車 斤 女
㜟㜟	女 ヿ 耳 攵
㜠㜠	女 山 隹
㜡㜡	女 彳 人 人 龰
㜢㜢	女 {婁字头} 口 丨 女
㜣㜣	女 {然左角} 犬 灬
㜤㜤	女 覀 日 十
㜥㜥	女 罒 貝
㜦㜦	女 彐 工 口 寸
㜧㜧	女 厂 䒑 {㪿三} 欠
㜨㜨	女 尸 氺 牛
㜩㜩	女 丿 冂 米 大
㜪㜪	立 木 斤 女
㜫㜫	女 {微框、微框无一} 几
㜬㜬	女 ⺈ 厂 八 言
㜭㜭	女 {党无儿} 田
㜮㜮	女 臣 {临右上} 皿
㜯㜯	女 {姬右} 巳 灬
㜰㜰	女 白 幺 幺 木
㜱㜱	女 斤 斤 貝
㜲㜲	女 {赢框} 女
㜳㜳	女 衣 罒 水
㜴㜴	女 艹 罒 冖 目
㜵㜵	女 衣 馬
㜶㜶	女 {免无儿} 匕 匕 兔
㜷㜷	弓 一 {䕥下} 女
㜸㜸	艹 丿 㠯 辛 女
㜹㜹	女 目 目 隹
㜺㜺	女 𠂒 儿 𠂒 儿 貝
㜻㜻	女 言 糹 糹 心
㜼㜼	女 田 田 田 冖 且
㜽㜽	巛 子
㜾㜾	子 人 {乔字底}
㜿㜿	子 予
㝀㝀	母 子
㝁㝁	勹 日 子
㝂㝂	子 扌 斤
㝃㝃	子 {免无儿} 儿
㝄㝄	{高头} 子 一 {屯无横}
㝅㝅	士 冖 一 子 殳
㝆㝆	子 壴 口
㝇㝇	{高头} 子 {高头} 子
㝈㝈	言 糹 糹 子 子
㝉㝉	宀 一
㝊㝊	宀 又
㝋㝋	宀 了
㝌㝌	宀 ⺈ ㇏
㝍㝍	宀 与
㝎㝎	宀 之
㝏㝏	宀 人 {乔字底}
㝐㝐	穴 厶
㝑㝑	宀 方
㝒㝒	宀 古
㝓㝓	宀 亼 口
㝔㝔	宀 六 乂
㝕㝕	宀 心 又
㝖㝖	宀 夕 夕
㝗㝗	宀 丶 艮
㝘㝘	宀 言
㝙㝙	宀 王 {其字底}
㝚㝚	宀 丿 止 廴
㝛㝛	宀 亻 一 囗 人
㝜㝜	宀 龷 日
㝝㝝	宀 木 木
㝞㝞	宀 一 {亞无横}
㝟㝟	宀 一 見
㝠㝠	宀 日 六
㝡㝡	宀 耳 又
㝢㝢	宀 丿 口 ⽱
㝣㝣	宀 丰 刀 大
㝤㝤	宀 井 王 冂
㝥㝥	宀 爿 米
㝦㝦	宀 隹 乃
㝧㝧	宀 女 人 人 土
㝨㝨	宀 土 口 𧘇
㝩㝩	宀 广 {尹三} 氺
㝪㝪	宀 土 {南心} 丸
㝫㝫	宀 阝 夂 一 生
㝬㝬	宀 丰 口 夫
㝭㝭	宀 忄 日 生
㝮㝮	宀 屮 凵 示 又
㝯㝯	宀 丿 大 口 冂 口
㝰㝰	宀 自 穴 方
㝱㝱	宀 爿 艹 罒 冖 夕
㝲㝲	宀 爿 卝 罒 冖 彐 冖 巾
㝳㝳	一 ⺗
㝴㝴	二 儿 寸
㝵㝵	日 一 寸
㝶㝶	罒 儿 寸
㝷㝷	彐 工 几 丶 寸
㝸㝸	小 白 儿
㝹㝹	小 丿 兔
㝺㝺	䒑 {尹三} {变字头无亠} 小 丿
㝻㝻	廿 口 龶 小 丿
㝼㝼	尢 一 𬺰
㝽㝽	尢 水
㝾㝾	尢 𠂇 工
㝿㝿	尢 皮
㞀㞀	尢 𠂇 火
㞁㞁	尢 日 匕
㞂㞂	尢 爫 女
㞃㞃	谷 尤
㞄㞄	尢 大 日 乚
㞅㞅	尢 田 木
㞆㞆	尢 大 可
㞇㞇	尢 田 一 {畏下无横}
㞈㞈	尢 户 𠕁
㞉㞉	尢 ⺶ 工
㞊㞊	屮 凵 示 尢
㞋㞋	尸 又
㞌㞌	尸 子
㞍㞍	尸 丸
㞎㞎	尸 巴
㞏㞏	尸 丿 之
㞐㞐	尸 立
㞑㞑	尸 毛
㞒㞒	尸 自
㞓㞓	尸 匕 日
㞔㞔	尸 夕 夕
㞕㞕	尸 八 ⺝
㞖㞖	尸 木 冂
㞗㞗	尸 一 氺 丶
㞘㞘	尸 豕 丶
㞙㞙	尸 毛 水
㞚㞚	尸 千 臼
㞛㞛	尸 彳 匕 日
㞜㞜	尸 彳 禾 女
㞝㞝	戊 ⺊ 一 小 尸
㞞㞞	尸 彳 人 人 龰
㞟㞟	尸 丷 酉 大
㞠㞠	尸 大 丷 日 小
㞡㞡	尸 工 工 工 工 𧘇
㞢㞢	屮 一
㞣㞣	屮 八 刀
㞤㞤	山 人
㞥㞥	山 入
㞦㞦	山 几
㞧㞧	山 乃
㞨㞨	山 子
㞩㞩	山 几 丶
㞪㞪	{录上} 山
㞫㞫	山 之
㞬㞬	山 工
㞭㞭	大 山
㞮㞮	山 ⺈ 丶
㞯㞯	己 山
㞰㞰	山 𠂉 十
㞱㞱	山 日
㞲㞲	山 口 丨
㞳㞳	山 斗
㞴㞴	山 氏
㞵㞵	山 文
㞶㞶	山 文
㞷㞷	屮 王
㞸㞸	山 不
㞹㞹	山 可
㞺㞺	山 矢
㞻㞻	山 口 一 ㄅ
㞼㞼	乛 水 山
㞽㞽	山 戉
㞾㞾	山 尸 匕
㞿㞿	山 土 㐅
㟀㟀	禾 山
㟁㟁	山 厂 干
㟂㟂	山 母
㟃㟃	山 𠃌 一 口
㟄㟄	山 羊
㟅㟅	山 㐅 凵 儿
㟆㟆	山 亻 {华右角} 十
㟇㟇	山 人 人 土
㟈㟈	山 一 氺 丶
㟉㟉	山 宀 牛
㟊㟊	山 爫 子
㟋㟋	山 丷 口 儿
㟌㟌	山 龙 𰀪
㟍㟍	山 丶 艮
㟎㟎	山 爫 女
㟏㟏	山 亽 ヿ 口
㟐㟐	山 艹 亡
㟑㟑	山 十 冖 子
㟒㟒	山 {尹三} 丿 口
㟓㟓	山 㐅 𠂇 巾
㟔㟔	山 亽 ヿ 口
㟕㟕	山 口 斗
㟖㟖	山 王 廾
㟗㟗	山 八 刀 八 刀
㟘㟘	山 ⺆ 土 口
㟙㟙	山 龷 日
㟚㟚	木 支 山
㟛㟛	山 扌 甘
㟜㟜	山 弓 ⺈ 小
㟝㟝	山 立 口
㟞㟞	山 戈 戈
㟟㟟	山 龷 八 ⺋
㟠㟠	山 冂 䒑 山
㟡㟡	山 丷 夫 ⺋
㟢㟢	山 大 可
㟣㟣	山 木 八 厶
㟤㟤	山 {录上} 氺
㟥㟥	山 厶 大 彡
㟦㟦	山 冖 車
㟧㟧	山 {双口：吕吅} 二 ㄅ
㟨㟨	山 山 而
㟩㟩	民 攵 山
㟪㟪	山 田 一 {畏下无横}
㟫㟫	山 白 水
㟬㟬	山 臼 丨 又
㟭㟭	山 民 日
㟮㟮	山 穴 犬
㟯㟯	山 宀 各
㟰㟰	山 冖 日 六
㟱㟱	山 ⺷ 灬
㟲㟲	山 厂 白 小
㟳㟳	山 覀 木
㟴㟴	山 鬼
㟵㟵	山 罒 一 止
㟶㟶	山 厂 白 小
㟷㟷	山 艹 亼 口
㟸㟸	山 白 大 十
㟹㟹	山 耳 卯
㟺㟺	山 {婁字头} 口 丨 女
㟻㟻	車 斤 山
㟼㟼	山 敖
㟽㟽	山 覀 示
㟾㟾	山 广 肀 用
㟿㟿	山 艹 犬 廾
㠀㠀	鳥 山
㠁㠁	山 厶 厶 厶 人 彡
㠂㠂	山 敖
㠃㠃	山 {立无横} 冂 古
㠄㠄	山 羽 白
㠅㠅	山 彳 𠂉 日 夂
㠆㠆	山 {双口：吕吅} 田 十
㠇㠇	山 {高头} 小 尤
㠈㠈	山 門 王
㠉㠉	山 立 里
㠊㠊	山 虍 业
㠋㠋	山 口 {双口：吕吅} 二 ㄅ
㠌㠌	山 {其字头} {其字底} 欠
㠍㠍	山 隹 木
㠎㠎	山 隹 木
㠏㠏	山 龷 艹 {举字底}
㠐㠐	山 丿 大 口 冂 口
㠑㠑	山 罒 非
㠒㠒	山 覀 示 刂
㠓㠓	山 艹 冖 一 豕
㠔㠔	山 辟
㠕㠕	山 阝 鬼
㠖㠖	山 ⺷ 丿 扌 戈
㠗㠗	山 丿 冂 米 大
㠘㠘	山 {臼裂} 一 ㄅ 丨 {其字底}
㠙㠙	山 {亮头} 豕
㠚㠚	山 业 ⺷ 寸
㠛㠛	山 艹 隹 又
㠜㠜	山 匕 矢 龴 疋
㠝㠝	山 夫 夫 貝
㠞㠞	{微框、微框无一} 王 山
㠟㠟	山 禾 {黎右角} 人 氺
㠠㠠	山 虍 田 皿
㠡㠡	山 衣 馬
㠢㠢	山 鬼 衣
㠣㠣	山 厂 禾 禾 止
㠤㠤	山 衣 {双口：吕吅} 井 一
㠥㠥	山 田 田 田 土
㠦㠦	山 山 丰 丰 豆
㠧㠧	山 麻 非
㠨㠨	山 木 乂 乂 木 罒 {即左} 寸
㠩㠩	亾 {荒字底}
㠪㠪	工 一
㠫㠫	工 几 丶 夫
㠬㠬	工 口 夫
㠭㠭	工 工 工 工
㠮㠮	䒑 业 日 工
㠯㠯	㠯
㠰㠰	力 口 己
㠱㠱	己 {其字头} {其字底}
㠲㠲	巾 匕
㠳㠳	入 巾
㠴㠴	巾 刀 丶
㠵㠵	亡 巾
㠶㠶	巾 丿 几
㠷㠷	巾 及
㠸㠸	巾 夫
㠹㠹	巾 人 {乔字底}
㠺㠺	巾 小 丿
㠻㠻	耂 巾
㠼㠼	巾 斤
㠽㠽	巾 夂 ゛
㠾㠾	夕 ⺋ 巾
㠿㠿	止 匕 巾
㡀㡀	㡀
㡁㡁	巾 大 二 ㄅ
㡂㡂	歹 刂 巾
㡃㡃	巾 亾 {荒字底}
㡄㡄	巾 勹 日
㡅㡅	巾 夕 夕
㡆㡆	巾 亡 {荒字底}
㡇㡇	巾 耳 ㇗
㡈㡈	巾 {免无儿} 儿
㡉㡉	巾 弓 亠 幺
㡊㡊	巾 ⺈ 臼
㡋㡋	巾 大 日 乚
㡌㡌	巾 ⺜ ⺝
㡍㡍	白 大 巾
㡎㡎	巾 厶 大 彡
㡏㡏	巾 亼 ⺝ 刂
㡐㡐	巾 䒑 ⺝ 刂
㡑㡑	禾 火 巾
㡒㡒	巾 ⺁ 十 目
㡓㡓	巾 冖 車
㡔㡔	予 丿 攵 巾
㡕㡕	巾 艹 冂 大
㡖㡖	巾 千 里
㡗㡗	巾 ⺁ 虎
㡘㡘	巾 䒑 {尹三} {变字头无亠}
㡙㡙	巾 丿 龱 {比左} 匕
㡚㡚	巾 井 王 冂
㡛㡛	巾 艹 亡 {荒字底}
㡜㡜	巾 {祭字头} 示
㡝㡝	巾 夂 丰 辶
㡞㡞	巾 {婁字头} 口 丨 女
㡟㡟	巾 一 曲 曰
㡠㡠	巾 癶 豆
㡡㡡	巾 厂 豆 寸
㡢㡢	巾 曰 罒 一 {別字旁底}
㡣㡣	{立无横} 冖 巾 立 ⺝ {龍右}
㡤㡤	巾 业 䒑 未
㡥㡥	巾 爫 工 彐 心
㡦㡦	巾 宀 一 {步下} 貝
㡧㡧	巾 穴 癶 豆
㡨㡨	巾 人 人 戈 非 一
㡩㡩	言 糹 糹 巾
㡪㡪	巾 爫 尸 〢 止 巳 夂
㡫㡫	幺 曰 勹 亾
㡬㡬	幺 幺 戊 𠃌
㡭㡭	幺 幺 一 幺 幺 ㇗
㡮㡮	幺 幺 戊 丶 气
㡯㡯	广 丿 七
㡰㡰	广 一 𬺰
㡱㡱	广 ⺈ ㇏
㡲㡲	广 戈
㡳㡳	广 氏
㡴㡴	广 立
㡵㡵	广 亽 龴
㡶㡶	广 口 八
㡷㡷	广 木 一
㡸㡸	广 乍
㡹㡹	广 且
㡺㡺	广 日 一
㡻㡻	广 卯
㡼㡼	广 曰 ㇂ 丿
㡽㡽	广 聿
㡾㡾	广 艮
㡿㡿	广 䒑 {㪿三}
㢀㢀	广 木 冂
㢁㢁	广 夕 夕
㢂㢂	广 丿 㠯
㢃㢃	广 丶 艮
㢄㢄	广 豆
㢅㢅	广 王 廾
㢆㢆	广 里
㢇㢇	广 言
㢈㢈	广 隹
㢉㢉	广 禾 丿 七
㢊㢊	广 大 可
㢋㢋	广 亻 夕 夕
㢌㢌	广 阝 可
㢍㢍	广 艹 冂 大
㢎㢎	广 千 臼
㢏㢏	广 亼 ⺝ 刂
㢐㢐	广 冎 口
㢑㢑	广 隹 十
㢒㢒	广 虍 且
㢓㢓	广 音 十
㢔㢔	广 彳 人 人 龰
㢕㢕	广 乡 隹
㢖㢖	广 丿 米 田
㢗㢗	广 丿 大 口 冂 口
㢘㢘	广 䒑 {尹三} 〢 灬
㢙㢙	广 廿 口 龶 力
㢚㢚	广 虍 田 力
㢛㢛	广 僉
㢜㢜	广 廿 田 心
㢝㢝	广 魚 禾
㢞㢞	广 羽 田 龷 八
㢟㢟	止 廴
㢠㢠	冂 口 廴
㢡㢡	爿 {然左角} 寸 廾
㢢㢢	尚 攵 廾
㢣㢣	艹 句 攵 廾
㢤㢤	十 弋 刀
㢥㢥	冂 一 口 弋
㢦㢦	可 可 弋
㢧㢧	弓 一
㢨㢨	弓 干
㢩㢩	弓 勹 丶
㢪㢪	弓 二 ㄅ
㢫㢫	弓 山
㢬㢬	弓 𠂇 厶
㢭㢭	弓 攴
㢮㢮	弓 𠂉 也
㢯㢯	弓 民
㢰㢰	弓 皮
㢱㢱	弓 厶 小
㢲㢲	弓 弓 {其字底}
㢳㢳	弓 𠂉 {旅右下}
㢴㢴	弓 丿 囗 夂
㢵㢵	弓 亼 口
㢶㢶	弓 一 白
㢷㢷	弓 山 夕
㢸㢸	弓 弓 攵
㢹㢹	弓 辛
㢺㢺	弓 立 女
㢻㢻	弓 禾 女
㢼㢼	弓 㡀
㢽㢽	弓 耳 弓
㢾㢾	弓 覀 土
㢿㢿	弓 亻 {候右角} 矢
㣀㣀	弓 十 目 {其字底}
㣁㣁	弓 龷 丿 用
㣂㣂	弓 鬲
㣃㣃	弓 {弃字头} ⺝ 弓
㣄㣄	弓 氵 匚 コ 木
㣅㣅	弓 旡 旡 曰
㣆㣆	弓 一 {䕥下} 王
㣇㣇	彑 𰀪 巾
㣈㣈	彑 𰀪 巾 彑 𰀪 巾
㣉㣉	工 彡
㣊㣊	夂 彡
㣋㣋	井 丶 彡
㣌㣌	⺊ 口 彡
㣍㣍	厶 口 彡
㣎㣎	白 小 彡
㣏㣏	大 日 十 彡
㣐㣐	白 水 彡
㣑㣑	广 肀 用 彡
㣒㣒	丷 囗 ⺌ 曰 彡
㣓㣓	歺 又 米 彡
㣔㣔	彳 丁
㣕㣕	彳 大
㣖㣖	彳 大 丶
㣗㣗	彳 户
㣘㣘	彳 句
㣙㣙	彳 由
㣚㣚	彳 冂 一 口
㣛㣛	彳 亼 口
㣜㣜	彳 一 廾 刂
㣝㣝	彳 戈 𠂇
㣞㣞	彳 八 厶 儿
㣟㣟	彳 士 口
㣠㣠	彳 丨 夂 ゛
㣡㣡	彳 亻 口 丨
㣢㣢	彳 丷 𢎨
㣣㣣	彳 大 入 入
㣤㣤	彳 戈 戈
㣥㣥	彳 亻 土 寸
㣦㣦	彳 禾 女
㣧㣧	彳 幺 ⺝ 乚
㣨㣨	彳 女 古
㣩㣩	彳 木 木
㣪㣪	彳 爫 一 𠂇 又
㣫㣫	彳 千 里
㣬㣬	彳 口 耳
㣭㣭	彳 㐅 凵 八 夂
㣮㣮	彳 十 冂 {南心}
㣯㣯	彳 尸 ⺌ ⺝
㣰㣰	彳 丿 米 心
㣱㣱	彳 龶 貝
㣲㣲	{微框、微框无一} 口
㣳㣳	彳 𠂉 卌 一 灬
㣴㣴	彳 黄
㣵㣵	彳 土 羊 辶
㣶㣶	彳 亠 囗 口 日 一
㣷㣷	彳 宀 心 皿 丁
㣸㣸	彳 {业无横} 豕 生
㣹㣹	彳 广 亻 隹 心
㣺㣺	⺗
㣻㣻	乂 心
㣼㣼	忄 刀 丶
㣽㣽	女 心
㣾㣾	忄 又 丶
㣿㣿	忄 勹 丶
㤀㤀	兦 心
㤁㤁	一 大 心
㤂㤂	及 心
㤃㤃	忄 方
㤄㤄	忄 一 巾
㤅㤅	旡 心
㤆㤆	忄 ⺁ 又
㤇㤇	忄 丿 大
㤈㤈	忄 心
㤉㤉	忄 牙
㤊㤊	忄 乂 乂
㤋㤋	忄 八 刀
㤌㤌	忄 甘
㤍㤍	工 一 ㄅ 心
㤎㤎	力 口 心
㤏㤏	忄 夂 ゛
㤐㤐	⺊ 口 心
㤑㤑	忄 𠂇 口
㤒㤒	忄 大 十
㤓㤓	忄 木 一
㤔㤔	忄 亻 寸
㤕㤕	忄 屮 凵
㤖㤖	忄 宀 丁
㤗㤗	{寿四} ㇏ ⺗
㤘㤘	忄 ⺈ 彐
㤙㤙	囗 コ 心
㤚㤚	忄 行
㤛㤛	忄 亻 丿 士
㤜㤜	忄 戊 丶
㤝㤝	忄 {弃字头} 儿
㤞㤞	忄 宀 丿 七
㤟㤟	曲 心
㤠㤠	歹 刂 心
㤡㤡	忄 歹 刂
㤢㤢	忄 𠂇 ⺝
㤣㤣	䒑 廾 心
㤤㤤	忄 日 {丈无一}
㤥㤥	忄 亥
㤦㤦	忄 一 口 {丈无一}
㤧㤧	忄 ⺁ 一 口
㤨㤨	忄 龷 八
㤩㤩	各 心
㤪㤪	一 夕 ⺋ 心
㤫㤫	𠂇 ⺝ 心
㤬㤬	忄 土 土
㤭㤭	忄 丿 大 {乔字底}
㤮㤮	犭 王 心
㤯㤯	忄 冂 八 口
㤰㤰	亻 乍 心
㤱㤱	忄 豆
㤲㤲	大 人 人 心
㤳㤳	忄 不 口
㤴㤴	忄 耳 ㇗
㤵㤵	子 攵 心
㤶㤶	忄 龙 𰀪
㤷㤷	忄 亽 ヿ 口
㤸㤸	忄 土 {亦字底}
㤹㤹	忄 一 氺 丶
㤺㤺	忄 亡 {荒字底}
㤻㤻	卵 心
㤼㤼	忄 土 厶 力
㤽㤽	忄 {寿四} 寸
㤾㤾	忄 冖 八 木
㤿㤿	忄 大 日 乚
㥀㥀	忄 十 目 一
㥁㥁	十 罒 ㇗ 心
㥂㥂	忄 日 一 寸
㥃㥃	忄 門
㥄㥄	忄 土 八 夂
㥅㥅	忄 爫 冖 又
㥆㥆	忄 {尹三} 氺
㥇㥇	忄 戈 戈
㥈㥈	巾 ⺊ 口 心
㥉㥉	忄 立 口
㥊㥊	忄 月 月
㥋㥋	亻 衣 心
㥌㥌	忄 勹 米
㥍㥍	忄 {其字头} {其字底}
㥎㥎	禾 {黎右角} 心
㥏㥏	忄 𠕁 {其字底}
㥐㥐	亼 口 卩 心
㥑㥑	{㥑字头} 心
㥒㥒	忄 爫 木
㥓㥓	忄 大 可
㥔㥔	忄 {弃字头} ⺝
㥕㥕	火 火 心
㥖㥖	⺆ 亠 八 厶 心
㥗㥗	忄 日 文
㥘㥘	忄 土 厶 刀 丶
㥙㥙	忄 口 丨 心
㥚㥚	忄 臼 人
㥛㥛	忄 了 口 又 一
㥜㥜	忄 田 ⺝
㥝㥝	忄 弓 耳
㥞㥞	忄 丷 豕
㥟㥟	忄 彑 {豕无横}
㥠㥠	忄 疋 ⺝
㥡㥡	忄 尸 匕 木
㥢㥢	忄 丷 酉
㥣㥣	大 土 土 心
㥤㥤	予 丿 亽 ヿ 心
㥥㥥	忄 田 ⽱
㥦㥦	匚 大 人 人 心
㥧㥧	忄 頁
㥨㥨	女 土 土 心
㥩㥩	忄 耂 日
㥪㥪	忄 米 女
㥫㥫	忄 {高头} 日
㥬㥬	忄 {立无横} 冖 方
㥭㥭	忄 {寿四} ㇏ 氺
㥮㥮	忄 勹 {㪿三} 勹 {㪿三}
㥯㥯	爫 工 彐 心
㥰㥰	忄 臼 丨 又
㥱㥱	忄 匚 非
㥲㥲	十 目 {其字底} 心
㥳㥳	忄 厂 白 小
㥴㥴	忄 ⺁ 虎
㥵㥵	忄 囗 豕
㥶㥶	宀 井 {其字底} 心
㥷㥷	广 大 人 人 心
㥸㥸	民 田 心
㥹㥹	米 八 刀 心
㥺㥺	忄 土 厶 皿
㥻㥻	戊 禾 心
㥼㥼	忄 一 止 一 ㄅ 灬
㥽㥽	忄 龶 貝
㥾㥾	忄 匚 艹 𠂇 口
㥿㥿	敖 心
㦀㦀	忄 夂 丰 辶
㦁㦁	車 辶 心
㦂㦂	{党无儿} 巾 心
㦃㦃	忄 {立无横} 厂 生
㦄㦄	麻 心
㦅㦅	忄 艹 冖 巾
㦆㦆	忄 虍 丿 丷 𬺰
㦇㦇	忄 鹿
㦈㦈	忄 ⺷ 皿
㦉㦉	忄 士 冖 豆
㦊㦊	忄 龷 艹 {举字底}
㦋㦋	忄 大 耂 日
㦌㦌	毛 毛 毛 心
㦍㦍	忄 {双口：吕吅} 䒑 {㪿三}
㦎㦎	忄 {𥁞字头} 田 一
㦏㦏	忄 巳 巳 龷 八
㦐㦐	忄 弋 二 貝
㦑㦑	忄 ヿ 耳 攵
㦒㦒	忄 罒 言
㦓㦓	忄 {然左角} 犬 灬
㦔㦔	日 月 犬 心
㦕㦕	忄 阝 夂 一 生
㦖㦖	忄 門 心
㦗㦗	忄 木 木 示
㦘㦘	白 方 攵 心
㦙㦙	忄 田 ⽱ 心
㦚㦚	{辡左} 心 辛
