⺀⺀	丶 丶
㕾㕾	小 口 匕
㕿㕿	禾 口
㖀㖀	口 聿
㖁㖁	口 㐅 𠂇 厶
㖂㖂	口 曰 ㇂ 丿
㖃㖃	口 ⺁ 一 口
㖄㖄	口 {州三点} 川
㖅㖅	口 戊 一
㖆㖆	口 曲
㖇㖇	口 而
㖈㖈	老 口
㖉㖉	口 人 止
㖊㖊	口 彐 寸
㖋㖋	人 {乔字底} 口 匕
㖌㖌	亻 九 口 匕
㖍㖍	斗 口 匕
㖎㖎	口 匕 人 {乔字底}
㖏㖏	口 日 土
㖐㖐	{双口：吕吅} {尹三} 丿
㖑㖑	口 戈 廾
㖒㖒	口 丷 𢎨
㖓㖓	口 夂 丰
㖔㖔	口 一 大 口
㖕㖕	口 辛
㖖㖖	辛 口
㖗㖗	口 山 亽 ヿ
㖘㖘	口 辰
㖙㖙	力 {双口：吕吅} 匕
㖚㖚	亻 寸 口 匕
㖛㖛	古 口 匕
㖜㖜	{高头} 口 匕
㖝㖝	未 口 匕
㖞㖞	口 口 冂 人
㖟㖟	口 爫 冖 又
㖠㖠	口 大 示
㖡㖡	口 亠 亻 {夜右角}
㖢㖢	口 广 止 匕
㖣㖣	口 立 口
㖤㖤	口 乛 氺 凵
㖥㖥	口 囗 禾
㖦㖦	口 木 日
㖧㖧	口 氏 日
㖨㖨	口 {录上} 氺
㖩㖩	口 耳 又
㖪㖪	口 戈 口 一
㖫㖫	口 土 八 夂
㖬㖬	口 臼 又
㖭㖭	口 一 大 ⺗
㖮㖮	口 侖
㖯㖯	冂 一 {双口：吕吅} 匕
㖰㖰	口 匕 冂 一 口
㖱㖱	亠 亻 {夜右角} 口
㖲㖲	女 {双口：吕吅} 匕
㖳㖳	氵 女 口 匕
㖴㖴	口 艹 勹 𰀪
㖵㖵	口 目 {其字底}
㖶㖶	口 覀 土
㖷㖷	口 日 疋
㖸㖸	口 虍 {疟字底}
㖹㖹	口 八 刀 皿
㖺㖺	口 {寿四} ㇏ 日
㖻㖻	口 予 丿 木
㖼㖼	口 甘 木
㖽㖽	口 頁
㖾㖾	{双口：吕吅} 䒑 {㪿三}
㖿㖿	口 耳 阝
㗀㗀	口 山 幺 幺
㗁㗁	口 {双口：吕吅} 二 ㄅ
㗂㗂	口 小 丿 目
㗃㗃	口 民 日
㗄㗄	口 罒 方
㗅㗅	口 古 月
㗆㗆	口 革
㗇㗇	口 尸 二 コ 又
㗈㗈	口 龴 用 力
㗉㗉	丰 刀 各
㗊㗊	{双口：吕吅} {双口：吕吅}
㗋㗋	口 ⺈ 厂 矢
㗌㗌	口 宀 至
㗍㗍	口 禾 日
㗎㗎	口 力 口 木
㗏㗏	口 不 一 止
㗐㗐	口 大 丶 皿
㗑㗑	口 {拜左} 一 丰
㗒㗒	口 衣 口
㗓㗓	口 丿 㠯 辶
㗔㗔	口 虍 文
㗕㗕	口 井 王 冂
㗖㗖	口 爫 臼
㗗㗗	口 力 白 丿 十
㗘㗘	口 甫 寸
㗙㗙	口 勹 {㪿三} 勹 {㪿三}
㗚㗚	口 覀 木
㗛㗛	口 ⺮ 丿 大
㗜㗜	口 亠 幺 田
㗝㗝	口 ⺷ 灬
㗞㗞	口 石 皮
㗟㗟	氵 丶 王 口 匕
㗠㗠	女 厶 {双口：吕吅} 匕
㗡㗡	艹 亻 乃 口 匕
㗢㗢	口 千 里 力
㗣㗣	口 艹 冖 巾
㗤㗤	戊 ⺊ 一 小 口
㗥㗥	口 {高头} 子 阝
㗦㗦	口 耳 卯
㗧㗧	口 穴 至
㗨㗨	匚 矢 殳 口
㗩㗩	口 羽 白
㗪㗪	口 止 匕 糸
㗫㗫	口 {祭字头} 示
㗬㗬	{党无儿} 夕 夕
㗭㗭	口 丿 米 心
㗮㗮	夕 口 广 {尹三} 人
㗯㗯	耂 日 口 匕
㗰㗰	口 彳 人 人 龰
㗱㗱	口 隹 木
㗲㗲	口 聿 田 一
㗳㗳	口 ⺮ 亼 口
㗴㗴	口 門 月
㗵㗵	口 火 火 欠
㗶㗶	口 癶 弓 殳
㗷㗷	口 宀 井 一 贝
㗸㗸	口 行 缶
㗹㗹	口 隹 心
㗺㗺	口 一 大 非
㗻㗻	口 冎 口 辶
㗼㗼	口 业 䒑 未
㗽㗽	乡 丶 {即左} 阝 口
㗾㗾	口 革 亻 {华右角}
㗿㗿	口 門 可
㘀㘀	口 臼 米
㘁㘁	口 罒 土 {南心}
㘂㘂	口 䒑 幺 幺 心
㘃㘃	口 艹 𠂇 口 心
㘄㘄	口 木 罒 方
㘅㘅	口 行 金
㘆㘆	口 士 口 冖 至
㘇㘇	口 火 火 冖 木
㘈㘈	口 匕 矢 龴 疋
㘉㘉	口 ⺮ {即左} 卩
㘊㘊	口 ⻗ 言
㘋㘋	口 臣 又 貝
㘌㘌	口 虍 豕 刂
㘍㘍	口 小 隹 戈
㘎㘎	口 门 ヿ 耳 攵
㘏㘏	䒑 自 辶 口 匕
㘐㘐	口 馬 六 乂
㘑㘑	口 士 示 {尹三} 氺
㘒㘒	禾 千 里 口 匕
㘓㘓	口 門 木 囗 丷
㘔㘔	口 宀 井 {其字底} 貝
